contract_id,source_ids,decision_ids,lean_model,lean_assurance,rust_implementation,rust_conformance,rust_origin_evidence,rust_origin_assurance,circuit_evidence,circuit_assurance,reduction_evidence,reduction_assurance,blocker_ids
SN-FND-FIELD,"SRC-PAPER-04","","","open","crates/neo-params/src/lib.rs:NeoParams","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-FND-RING,"SRC-PAPER-04","","","open","crates/neo-params/src/lib.rs:NeoParams","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-FND-DIMENSIONS,"SRC-PAPER-04","","","open","crates/neo-params/src/lib.rs:NeoParams","open","","open","","open","protocol-contract/security-reduction.md","open",""
SN-NORM-CENTERED,"SRC-PAPER-04","","","open","crates/neo-math/src/balanced.rs:within_nc_bound","open","","open","crates/neo-fold-legacy/src/paper/decider_ce_relation/mod.rs","open","protocol-contract/security-reduction.md","open",""
SN-NORM-BOUNDS,"SRC-PAPER-04","","","open","crates/neo-math/src/balanced.rs:within_nc_bound","open","","open","crates/neo-fold-legacy/src/paper/decider_ce_relation/mod.rs","open","protocol-contract/security-reduction.md","open",""
SN-SPLIT-ABSTRACT,"SRC-PAPER-04","","","open","crates/neo-reductions/src/common.rs:split_b_matrix_k","open","","open","crates/neo-fold-legacy/src/paper/reductions/pi_dec_circuit","open","protocol-contract/security-reduction.md","open",""
SN-EMBED-COEFFICIENTS,"SRC-PAPER-05","","","open","crates/neo-math/src/ring.rs:superneo_bar_vec;crates/neo-math/src/ring.rs:ct","open","","open","crates/neo-fold-legacy/src/paper/decider_ce_relation/evaluation.rs","open","protocol-contract/security-reduction.md","open",""
SN-EMBED-MODULE-ACTION,"SRC-PAPER-05","","","open","crates/neo-math/src/ring.rs:superneo_bar_vec;crates/neo-math/src/ring.rs:ct","open","","open","crates/neo-fold-legacy/src/paper/decider_ce_relation/evaluation.rs","open","protocol-contract/security-reduction.md","open",""
SN-REL-STRUCTURE,"SRC-PAPER-07","","","open","crates/neo-ccs/src/relations.rs:CcsStructure","open","","open","crates/neo-fold-legacy/src/engine/r1cs_circuit","open","protocol-contract/security-reduction.md","open",""
SN-REL-CCS,"SRC-PAPER-07","","","open","crates/neo-ccs/src/relations.rs:check_ccs_rowwise_zero","open","","open","crates/neo-fold-legacy/src/frontends/r1cs_f_prime","open","protocol-contract/security-reduction.md","open",""
